Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://hemocentrosunidos.org.br/,29023,0,9,9.506186507255784,1.5622999999322928,45.51500000161468,2851.0,96.86943762201702,0.0,9,10,10,10,11,12,15,23,32,45,46
GET,/?url=https://luccabarroso.com.br/,29033,0,15,13.297751672240913,1.56050000077812,46.3662000001932,2841.0,96.90281440512766,0.0,15,17,18,18,19,20,23,26,34,41,46
GET,/?url=https://luccabarroso.com.br/pt/animations,29032,0,9,9.738290961690318,1.579299998411443,61.032999998133164,2867.0,96.89947672681659,0.0,9,10,11,11,12,13,17,23,31,41,61
GET,/?url=https://www.apple.com/br/,29029,0,9,9.586897233792062,1.5440999995917082,53.113699999812525,2835.0,96.88946369188339,0.0,9,10,10,10,11,12,15,23,32,38,53
GET,/?url=https://www.baratocoletivo.com.br/,29028,0,9,9.516651302197786,1.5596999983245041,55.0522000012279,2853.0,96.88612601357234,0.0,9,10,10,10,11,12,15,24,32,44,55
GET,/?url=https://www.bbc.com/portuguese,29026,0,9,9.565726486588058,1.5088999971339945,48.38850000305683,2845.0,96.8794506569502,0.0,9,10,10,10,11,12,15,23,33,44,48
GET,/?url=https://www.cnnbrasil.com.br/,29026,0,9,9.512116350862978,1.5300000013667159,45.218600000225706,2843.0,96.8794506569502,0.0,9,10,10,10,11,12,15,23,32,43,45
GET,/?url=https://www.fontshare.com/,29032,0,9,9.66738790645211,1.5131000000110362,46.54920000029961,2837.0,96.89947672681659,0.0,9,10,10,11,11,12,16,23,32,41,47
GET,/?url=https://www.unifor.br/,29029,0,9,9.462061521246637,1.5863000007811934,50.183700001070974,2829.0,96.88946369188339,0.0,9,10,10,10,11,12,16,23,32,44,50
GET,/?url=https://www.youtube.com/,29023,0,9,9.592573124759534,1.5333999981521629,51.011099996685516,2833.0,96.86943762201702,0.0,9,10,10,10,11,12,16,23,32,40,51
,Aggregated,290281,0,9,9.944631711686899,1.5088999971339945,61.032999998133164,2843.4001570891655,968.8645978140344,0.0,9,10,10,11,12,17,19,24,32,42,61
