Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1714845746,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1714845747,1,,Aggregated,0.000000,0.000000,2,2,2,2,3,3,3,4,16,16,16,466,0,2,2.1128746781670196,1.4990000017860439,16.295800000079907,2843.4034334763946
1714845748,1,,Aggregated,0.000000,0.000000,2,2,2,2,2,3,3,4,16,16,16,975,0,2,2.0210941538971383,1.4990000017860439,16.295800000079907,2843.391794871795
1714845749,1,,Aggregated,104.000000,0.000000,2,2,2,2,2,2,3,4,10,16,16,1509,0,2,1.9601724983745432,1.476000001275679,16.295800000079907,2843.394963552021
1714845750,1,,Aggregated,293.500000,0.000000,2,2,2,2,2,2,3,4,8,16,16,2036,0,2,1.936967337934883,1.476000001275679,16.295800000079907,2843.400785854617
1714845751,1,,Aggregated,366.000000,0.000000,2,2,2,2,2,2,3,4,8,16,16,2560,0,2,1.9261101562790373,1.476000001275679,16.295800000079907,2843.4
1714845752,1,,Aggregated,406.000000,0.000000,2,2,2,2,2,2,3,4,8,16,16,3062,0,2,1.9324362181721941,1.476000001275679,16.295800000079907,2843.40692357936
1714845753,1,,Aggregated,431.000000,0.000000,2,2,2,2,2,2,3,4,8,16,16,3580,0,2,1.928138519551845,1.476000001275679,16.295800000079907,2843.4
1714845754,1,,Aggregated,446.500000,0.000000,2,2,2,2,2,2,3,4,7,16,16,4108,0,2,1.920838485867661,1.468499998736661,16.295800000079907,2843.400681596884
1714845755,1,,Aggregated,454.142857,0.000000,2,2,2,2,2,2,3,4,7,16,16,4626,0,2,1.9190340250677302,1.468499998736661,16.295800000079907,2843.400345871163
1714845756,1,,Aggregated,462.250000,0.000000,2,2,2,2,2,2,3,4,7,16,16,5157,0,2,1.9127935427487368,1.468499998736661,16.295800000079907,2843.400620515804
1714845757,1,,Aggregated,469.444444,0.000000,2,2,2,2,2,2,3,4,7,16,16,5681,0,2,1.9101893152580367,1.4434999975492246,16.295800000079907,2843.3995775391654
1714845758,1,,Aggregated,474.700000,0.000000,2,2,2,2,2,2,3,4,7,16,16,6216,0,2,1.9043996782410837,1.4434999975492246,16.295800000079907,2843.4002574002575
1714845759,1,,Aggregated,517.100000,0.000000,2,2,2,2,2,2,3,4,7,16,16,6747,0,2,1.9007245887019468,1.4434999975492246,16.295800000079907,2843.4004742848674
1714845760,1,,Aggregated,521.200000,0.000000,2,2,2,2,2,2,3,4,6,16,16,7282,0,2,1.8965230705855636,1.4434999975492246,16.295800000079907,2843.4029112881076
1714845761,1,,Aggregated,523.100000,0.000000,2,2,2,2,2,2,3,4,6,16,16,7804,0,2,1.8960086237832219,1.4434999975492246,16.295800000079907,2843.4000512557664
1714845762,1,,Aggregated,524.400000,0.000000,2,2,2,2,2,2,3,4,6,16,16,8321,0,2,1.8966317509899613,1.4434999975492246,16.295800000079907,2843.399711573128
1714845763,1,,Aggregated,523.800000,0.000000,2,2,2,2,2,2,3,4,6,16,16,8842,0,2,1.896391121918694,1.4434999975492246,16.295800000079907,2843.402397647591
1714845764,1,,Aggregated,524.200000,0.000000,2,2,2,2,2,2,3,4,6,16,16,9370,0,2,1.8948974599807078,1.4434999975492246,16.295800000079907,2843.4
