Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://hemocentrosunidos.org.br/,27758,0,10,10.021220372492634,1.5366000006906688,51.734599997871555,2851.0,92.59604066772025,0.0,10,10,11,11,12,13,17,27,34,46,52
GET,/?url=https://luccabarroso.com.br/,27767,0,10,12.968743227575422,1.5768000012030825,46.64599999523489,2841.0,92.62606316091174,0.0,10,17,18,18,19,21,23,28,37,44,47
GET,/?url=https://luccabarroso.com.br/pt/animations,27767,0,10,10.447024104151549,1.5836000020499341,56.17530000017723,2867.0,92.62606316091174,0.0,10,11,11,12,13,14,18,26,36,47,56
GET,/?url=https://www.apple.com/br/,27763,0,10,10.069165219889198,1.612200001545716,55.87309999827994,2835.0,92.61271983060442,0.0,10,10,11,11,12,13,17,26,35,46,56
GET,/?url=https://www.baratocoletivo.com.br/,27763,0,10,10.13450502106186,1.562799996463582,54.41119999886723,2853.0,92.61271983060442,0.0,10,10,11,11,12,13,17,25,36,44,54
GET,/?url=https://www.bbc.com/portuguese,27761,0,10,10.085508688450512,1.5739000009489246,59.312400000635535,2845.0,92.60604816545074,0.0,10,10,11,11,12,13,17,27,35,46,59
GET,/?url=https://www.cnnbrasil.com.br/,27761,0,10,10.08444843484471,1.5660999997635372,79.72270000027493,2843.0,92.60604816545074,0.0,10,10,11,11,12,13,17,26,35,51,80
GET,/?url=https://www.fontshare.com/,27765,0,10,10.087682528337435,1.5566000001854263,46.31070000323234,2837.0,92.61939149575808,0.0,10,10,11,11,12,13,17,26,34,45,46
GET,/?url=https://www.unifor.br/,27765,0,10,10.12358539169285,1.5673999951104634,58.30889999924693,2829.0,92.61939149575808,0.0,10,10,11,11,12,13,17,26,35,46,58
GET,/?url=https://www.youtube.com/,27760,0,10,10.101117035291903,1.5626000022166409,56.43380000401521,2833.0,92.60271233287392,0.0,10,10,11,11,12,13,17,26,35,52,56
,Aggregated,277630,0,10,10.412348038390599,1.5366000006906688,79.72270000027493,2843.4001224651515,926.1271983060442,0.0,10,10,11,11,13,17,20,27,35,46,80
