Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://hemocentrosunidos.org.br/,15826,0,2,1.8626754454688499,1.4515000002575107,13.000399998418288,2851.0,52.899750170639585,0.0,2,2,2,2,2,2,3,3,4,10,13
GET,/?url=https://luccabarroso.com.br/,15827,0,2,1.863764983925267,1.4440000013564713,16.295800000079907,2841.0,52.9030927556371,0.0,2,2,2,2,2,2,3,3,4,14,16
GET,/?url=https://luccabarroso.com.br/pt/animations,15827,0,2,1.8654945220204644,1.4684000016131904,10.232599997834768,2867.0,52.9030927556371,0.0,2,2,2,2,2,2,3,3,4,9,10
GET,/?url=https://www.apple.com/br/,15827,0,2,1.8638854426045899,1.4498999989882577,15.758800000185147,2835.0,52.9030927556371,0.0,2,2,2,2,2,2,3,3,4,15,16
GET,/?url=https://www.baratocoletivo.com.br/,15826,0,2,1.869309339047825,1.4465999993262812,19.817000000330154,2853.0,52.899750170639585,0.0,2,2,2,2,2,2,3,3,4,12,20
GET,/?url=https://www.bbc.com/portuguese,15826,0,2,1.8663473082261923,1.4628999997512437,15.73360000111279,2845.0,52.899750170639585,0.0,2,2,2,2,2,2,3,3,5,14,16
GET,/?url=https://www.cnnbrasil.com.br/,15826,0,2,1.8632042777913698,1.4575999994121958,15.885200002230704,2843.0,52.899750170639585,0.0,2,2,2,2,2,2,3,3,4,14,16
GET,/?url=https://www.fontshare.com/,15827,0,2,1.8591585013122285,1.4645000010204967,11.108499998954358,2837.0,52.9030927556371,0.0,2,2,2,2,2,2,3,3,4,9,11
GET,/?url=https://www.unifor.br/,15827,0,2,1.8557634105849683,1.4432999996643048,14.445299999351846,2829.0,52.9030927556371,0.0,2,2,2,2,2,2,3,3,4,12,14
GET,/?url=https://www.youtube.com/,15826,0,2,1.8613770883189982,1.4434999975492246,18.369500001426786,2833.0,52.899750170639585,0.0,2,2,2,2,2,2,3,3,4,10,18
,Aggregated,158265,0,2,1.8630979850258471,1.4432999996643048,19.817000000330154,2843.399949451869,529.0142146313834,0.0,2,2,2,2,2,2,3,3,4,12,20
