Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1714846347,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1714846348,2,,Aggregated,0.000000,0.000000,2,2,2,2,2,2,3,4,17,17,17,509,0,2,1.9321314341931037,1.5108000006875955,17.136300000856863,2843.385068762279
1714846349,3,,Aggregated,0.000000,0.000000,2,2,2,2,2,2,3,4,10,17,17,1487,0,2,1.9898305312841071,1.5108000006875955,17.136300000856863,2843.39677202421
1714846350,4,,Aggregated,18.000000,0.000000,2,2,3,3,3,3,4,4,9,17,17,2541,0,2,2.3298269972362053,1.5108000006875955,17.136300000856863,2843.4069264069262
1714846351,5,,Aggregated,282.000000,0.000000,3,3,3,3,4,4,5,5,9,17,17,3617,0,3,2.726760879181705,1.5108000006875955,17.136300000856863,2843.3981199889413
1714846352,6,,Aggregated,514.666667,0.000000,3,4,4,4,5,5,6,6,10,17,17,4674,0,3,3.170934488660457,1.5108000006875955,17.136300000856863,2843.402225074882
1714846353,7,,Aggregated,650.750000,0.000000,3,4,5,5,6,6,7,9,15,23,23,5650,0,3,3.6747353805343166,1.5108000006875955,23.0693000012252,2843.4003539823007
1714846354,8,,Aggregated,734.400000,0.000000,4,5,6,6,7,7,9,10,17,24,24,6606,0,4,4.2002193309112705,1.5108000006875955,23.561300000437768,2843.3975174084167
1714846355,9,,Aggregated,783.833333,0.000000,4,6,6,7,8,9,10,12,19,33,33,7564,0,4,4.715639978852675,1.5108000006875955,33.41579999687383,2843.400581702803
1714846356,10,,Aggregated,813.857143,0.000000,5,6,7,7,9,9,12,15,24,33,33,8560,0,5,5.201452955614547,1.5108000006875955,33.41579999687383,2843.4044392523365
1714846357,11,,Aggregated,830.500000,0.000000,5,7,8,8,9,11,15,17,27,33,33,9529,0,5,5.710312540671981,1.5108000006875955,33.41579999687383,2843.4099066009026
1714846358,12,,Aggregated,844.111111,0.000000,6,7,8,9,11,12,16,18,30,42,43,10477,0,6,6.231171776274635,1.5108000006875955,43.312199999490986,2843.4033597403836
1714846359,13,,Aggregated,859.400000,0.000000,6,8,9,10,11,13,17,19,33,43,46,11459,0,6,6.729588533043002,1.5108000006875955,45.906100000138395,2843.404398289554
1714846360,14,,Aggregated,953.000000,0.000000,7,9,10,11,12,14,18,22,36,43,46,12435,0,7,7.223860868522788,1.5108000006875955,45.906100000138395,2843.4027342179334
1714846362,15,,Aggregated,992.400000,0.000000,7,9,11,11,13,15,20,23,40,44,46,13447,0,7,7.703709808880608,1.5108000006875955,45.906100000138395,2843.407079646018
1714846363,16,,Aggregated,983.700000,0.000000,8,10,11,12,14,16,22,25,43,55,59,14405,0,8,8.218377889626412,1.5108000006875955,58.77099999997881,2843.3986115931966
1714846364,17,,Aggregated,977.500000,0.000000,8,11,12,13,15,17,22,25,45,59,62,15378,0,8,8.725942905453046,1.5108000006875955,62.411300001258496,2843.406684874496
1714846365,18,,Aggregated,968.900000,0.000000,9,11,13,14,16,18,23,26,50,62,63,16357,0,9,9.225346182069215,1.5108000006875955,63.319199998659315,2843.401662896619
1714846366,19,,Aggregated,966.500000,0.000000,9,12,13,15,17,19,23,26,52,63,65,17329,0,9,9.731864775818051,1.5108000006875955,65.03840000004857,2843.4071787177563
1714846367,20,,Aggregated,969.600000,0.000000,10,12,14,16,18,20,24,27,56,71,72,18295,0,10,10.243991210721813,1.5108000006875955,71.57679999727407,2843.4049193768788
1714846368,21,,Aggregated,971.400000,0.000000,10,13,15,16,19,21,24,27,59,71,72,19277,0,10,10.745626523842205,1.5108000006875955,71.57679999727407,2843.4065985371167
1714846369,22,,Aggregated,966.300000,0.000000,11,14,16,17,20,22,25,29,62,72,75,20242,0,11,11.269273184475539,1.5108000006875955,75.31360000211862,2843.4001580871454
1714846370,23,,Aggregated,968.900000,0.000000,11,15,17,18,21,23,26,29,64,74,82,21216,0,11,11.77515914405081,1.5108000006875955,82.27980000083335,2843.4062971342382
1714846371,24,,Aggregated,969.800000,0.000000,12,15,18,19,22,24,27,30,68,82,92,22177,0,12,12.289213275026903,1.5108000006875955,91.70289999747183,2843.400054110114
1714846372,25,,Aggregated,968.300000,0.000000,12,16,19,20,23,25,28,32,72,86,92,23141,0,12,12.817354893924456,1.5108000006875955,91.70289999747183,2843.4013655416793
1714846373,26,,Aggregated,967.300000,0.000000,12,17,19,21,24,26,29,33,74,92,98,24100,0,12,13.344186381753252,1.5108000006875955,97.8415000026871,2843.399336099585
1714846374,27,,Aggregated,962.400000,0.000000,13,18,20,21,24,27,30,34,78,97,98,25068,0,13,13.865566299673354,1.5108000006875955,97.8415000026871,2843.404419977661
1714846375,28,,Aggregated,960.800000,0.000000,13,18,21,22,25,28,31,34,79,97,98,26019,0,13,14.378944029372855,1.5108000006875955,97.8415000026871,2843.4056266574426
1714846376,29,,Aggregated,957.800000,0.000000,14,19,22,23,26,29,32,37,82,98,110,26953,0,14,14.901242388612712,1.5108000006875955,113.19709999952465,2843.3994360553556
1714846377,30,,Aggregated,954.500000,0.000000,15,20,22,24,27,30,33,39,85,100,110,27917,0,15,15.408578776383797,1.5108000006875955,113.19709999952465,2843.405702618476
1714846378,31,,Aggregated,950.400000,0.000000,15,20,23,25,28,31,35,39,92,100,110,28857,0,15,15.940840714569186,1.5108000006875955,113.19709999952465,2843.4005960425548
1714846379,32,,Aggregated,951.900000,0.000000,16,21,24,26,29,32,35,40,94,110,110,29831,0,16,16.4575406825228,1.5108000006875955,114.69940000097267,2843.4026683651236
1714846380,33,,Aggregated,947.000000,0.000000,16,22,25,26,30,32,36,44,97,110,120,30801,0,16,16.96840639590824,1.5108000006875955,115.94960000002175,2843.4025843316776
1714846381,34,,Aggregated,945.900000,0.000000,17,22,25,27,31,33,36,44,100,110,120,31802,0,17,17.46539870449709,1.5108000006875955,115.94960000002175,2843.405949311364
1714846382,35,,Aggregated,945.900000,0.000000,17,23,26,28,32,34,39,45,100,120,140,32739,0,17,17.995185598229106,1.5108000006875955,136.64429999698768,2843.401050734598
1714846383,36,,Aggregated,949.100000,0.000000,18,24,27,29,33,36,41,47,100,120,140,33665,0,18,18.54577347097632,1.5108000006875955,136.64429999698768,2843.3989900490124
1714846384,37,,Aggregated,946.700000,0.000000,19,24,28,30,34,37,42,47,110,130,140,34645,0,19,19.072391776603677,1.5108000006875955,138.43160000033095,2843.4040409871554
1714846385,38,,Aggregated,945.700000,0.000000,19,25,28,30,35,38,43,48,110,130,140,35590,0,19,19.60049547907838,1.5108000006875955,138.43160000033095,2843.4035403203147
1714846386,39,,Aggregated,942.700000,0.000000,20,26,29,31,36,40,44,49,110,130,150,36561,0,20,20.156028790251515,1.5108000006875955,147.75709999958053,2843.400262574875
