Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://hemocentrosunidos.org.br/,353,0,4500.0,8668.820562606208,2850.189600001613,21532.630000001518,11978.379603399433,1.1786814860856263,0.0,4500,11000,14000,15000,21000,21000,21000,21000,22000,22000,22000
GET,/?url=https://luccabarroso.com.br/,453,0,1300.0,2518.215313686454,226.74759999790695,21298.069399999804,4700.046357615894,1.5125855897926026,0.0,1300,3200,3300,3300,6400,10000,15000,21000,21000,21000,21000
GET,/?url=https://luccabarroso.com.br/pt/animations,453,0,260.0,1835.3227269316578,222.91749999931199,21426.296000001457,4440.481236203091,1.5125855897926026,0.0,260,350,1800,2500,5800,7600,21000,21000,21000,21000,21000
GET,/?url=https://www.apple.com/br/,430,0,120.0,1721.7271144185522,50.08119999911287,42352.403500000946,10817.697674418605,1.435787645939998,0.0,120,250,880,1600,2600,7200,24000,24000,42000,42000,42000
GET,/?url=https://www.baratocoletivo.com.br/,353,0,30000.0,31471.884645892333,1746.8282000008912,60063.74969999888,170853.60056657225,1.1786814860856263,0.0,30000,36000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/?url=https://www.bbc.com/portuguese,353,0,1100.0,4977.492483286102,34.8550000016985,21291.84389999864,19357.747875354107,1.1786814860856263,0.0,1100,4700,9500,11000,15000,21000,21000,21000,21000,21000,21000
GET,/?url=https://www.cnnbrasil.com.br/,353,0,1100.0,4627.345884136058,244.22069999855012,25173.063599999296,43753.606232294616,1.1786814860856263,0.0,1100,3300,7200,11000,16000,18000,24000,25000,25000,25000,25000
GET,/?url=https://www.fontshare.com/,453,0,190.0,2551.3254746136545,142.3861000002944,42357.02120000133,3209.679911699779,1.5125855897926026,0.0,190,360,1700,1900,6100,24000,24000,36000,42000,42000,42000
GET,/?url=https://www.unifor.br/,450,0,290.0,1307.9423191111057,237.6847000014095,21484.476300000097,33864.64444444444,1.5025684666813932,0.0,290,370,1100,1700,2200,3600,21000,21000,21000,21000,21000
GET,/?url=https://www.youtube.com/,353,0,670.0,6135.453682719563,438.1491999993159,37175.8633999998,4477.0,1.1786814860856263,0.0,670,7300,9700,11000,25000,25000,25000,25000,37000,37000,37000
,Aggregated,4004,0,1000.0,6039.66331356143,34.8550000016985,60063.74969999888,28442.48801198801,13.36952031242733,0.0,1000,3200,6300,9400,21000,28000,60000,60000,60000,60000,60000
